Recruitment Number,Position Number,Classification,Department,Interview Date,Selection,Job Offer Date,Effective Date,Comments,Date Verification
1666754,123-002-120-004,Executive Assistant,Finance,2022-12-24,Thomas Rodriguez,2023-01-22,,rescinded,Dates OK
2154126,123-004-129-001,Supply Chain Manager,Marketing,2022-11-06,Mark Turner,2022-11-26,,declined,Dates OK
2154126,123-004-129-002,Supply Chain Manager,Marketing,2022-11-03,Kevin Evans,2022-12-03,2023-01-15,transfer,Dates OK
2154126,123-004-129-003,Supply Chain Manager,Marketing,2022-09-28,Olivia Rodriguez,2022-10-02,,declined,Dates OK
2795765,123-009-124-001,Compliance Officer,Operations,2022-12-18,Joshua Wilson,2022-12-25,,declined,Dates OK
2795765,123-009-124-002,Compliance Officer,Operations,2022-09-15,Steven Young,2022-10-14,2022-12-12,new to org,Dates OK
1852264,123-007-103-001,Project Manager,Information Technology,2022-06-02,Brian Edwards,2022-06-20,,declined,Dates OK
1852264,123-007-103-002,Project Manager,Information Technology,2022-09-26,William Green,2022-10-02,,rescinded,Dates OK
1852264,123-007-103-003,Project Manager,Information Technology,2022-04-25,Emily Smith,2022-04-28,2022-06-24,,Dates OK
1604451,123-006-127-001,Training Coordinator,Customer Service,2022-11-12,William Williams,2022-11-24,2023-01-21,,Dates OK
1604451,123-006-127-002,Training Coordinator,Customer Service,2022-08-04,Lucas Thompson,2022-08-26,2022-09-11,transfer,Dates OK
1604451,123-006-127-003,Training Coordinator,Customer Service,2023-02-21,Deborah Scott,2023-03-13,2023-04-30,new to org,Dates OK
1604451,123-006-127-004,Training Coordinator,Customer Service,2022-06-16,Jackson Thomas,2022-07-12,,declined,Dates OK
1604451,123-006-127-005,Training Coordinator,Customer Service,2022-12-07,Mary Lopez,2023-01-02,2023-03-03,,Dates OK
7907400,123-004-126-001,Recruiter,Marketing,2023-01-27,Brian Miller,2023-02-24,,declined,Dates OK
7907400,123-004-126-002,Recruiter,Marketing,2022-08-22,Isabella Gomez,2022-08-30,,declined,Dates OK
7907400,123-004-126-003,Recruiter,Marketing,2023-04-17,Isabella Collins,2023-04-29,2023-05-19,promo,Dates OK
1397023,123-004-122-001,DevOps Engineer,Marketing,2022-10-13,Logan Jones,2022-10-25,,rescinded,Dates OK
1397023,123-004-122-002,DevOps Engineer,Marketing,2022-12-06,Amanda Turner,2022-12-07,2022-12-15,,Dates OK
1397023,123-004-122-003,DevOps Engineer,Marketing,2022-09-29,Barbara Nguyen,2022-10-01,2022-10-08,new to org,Dates OK
1397023,123-004-122-004,DevOps Engineer,Marketing,2022-11-18,George Gomez,2022-12-02,2023-01-10,new to org,Dates OK
9580255,123-007-104-001,HR Specialist,Information Technology,2023-03-23,Robert Rivera,2023-03-24,,declined,Dates OK
9580255,123-007-104-002,HR Specialist,Information Technology,2022-03-13,Lisa Ramirez,2022-04-04,2022-06-02,promo,Dates OK
9580255,123-007-104-003,HR Specialist,Information Technology,2022-05-08,Kevin Diaz,2022-06-01,2022-07-29,new to org,Dates OK
9580255,123-007-104-004,HR Specialist,Information Technology,2022-12-01,Kevin Clark,2022-12-14,2023-01-28,new to org,Dates OK
9580255,123-007-104-005,HR Specialist,Information Technology,2023-03-07,William Gonzalez,2023-03-29,,rescinded,Dates OK
7361002,123-003-122-001,DevOps Engineer,Engineering,2022-01-01,Emily Turner,2022-01-11,2022-01-30,,Dates OK
7361002,123-003-122-002,DevOps Engineer,Engineering,2022-11-26,Sophia Nguyen,2022-12-11,,rescinded,Dates OK
7361002,123-003-122-003,DevOps Engineer,Engineering,2022-06-23,Steven Walker,2022-07-15,2022-07-21,promo,Dates OK
7361002,123-003-122-004,DevOps Engineer,Engineering,2022-12-10,Kevin Green,2022-12-13,,rescinded,Dates OK
7361002,123-003-122-005,DevOps Engineer,Engineering,2022-08-19,Amanda Martin,2022-09-14,2022-09-27,promo,Dates OK
3472189,123-001-101-001,Software Engineer,Human Resources,2022-07-19,Sandra Clark,2022-08-11,2022-09-25,transfer,Dates OK
3472189,123-001-101-002,Software Engineer,Human Resources,2022-01-06,Jessica Martinez,2022-02-04,2022-03-25,,Dates OK
2788238,123-007-125-001,Security Analyst,Information Technology,2023-04-21,Brian King,2023-04-23,,declined,Dates OK
2788238,123-007-125-002,Security Analyst,Information Technology,2023-04-21,Sandra Rodriguez,2023-05-13,2023-06-16,transfer,Dates OK
6323376,123-008-125-001,Security Analyst,Research and Development,2023-04-02,Mason Collins,2023-05-01,2023-05-12,,Dates OK
6323376,123-008-125-002,Security Analyst,Research and Development,2022-09-11,Mark Taylor,2022-10-08,2022-11-18,,Dates OK
6323376,123-008-125-003,Security Analyst,Research and Development,2023-05-12,Deborah King,2023-06-02,,rescinded,Dates OK
6323376,123-008-125-004,Security Analyst,Research and Development,2022-10-20,Mark Jones,2022-10-28,,rescinded,Dates OK
6323376,123-008-125-005,Security Analyst,Research and Development,2022-03-24,Christopher Edwards,2022-03-29,,rescinded,Dates OK
3530518,123-007-108-001,Customer Support Rep,Information Technology,2022-12-05,Anthony Clark,2022-12-23,2023-01-22,transfer,Dates OK
3530518,123-007-108-002,Customer Support Rep,Information Technology,2023-02-03,Mason Clark,2023-03-04,2023-04-23,promo,Dates OK
1327691,123-010-128-001,Payroll Specialist,Legal,2023-02-04,Karen Carter,2023-03-04,2023-05-01,new to org,Dates OK
1327691,123-010-128-002,Payroll Specialist,Legal,2022-08-14,Paul Mitchell,2022-08-30,2022-09-14,,Dates OK
1327691,123-010-128-003,Payroll Specialist,Legal,2023-02-03,Ashley Johnson,2023-02-14,,rescinded,Dates OK
1327691,123-010-128-004,Payroll Specialist,Legal,2023-04-24,George Hernandez,2023-05-24,2023-06-02,,Dates OK
9961107,123-007-101-001,Software Engineer,Information Technology,2023-03-15,Jennifer Adams,2023-03-20,2023-05-15,transfer,Dates OK
9961107,123-007-101-002,Software Engineer,Information Technology,2022-12-02,Thomas Harris,2022-12-09,2023-01-08,transfer,Dates OK
9961107,123-007-101-003,Software Engineer,Information Technology,2023-03-08,Sarah Carter,2023-03-17,2023-05-10,,Dates OK
9961107,123-007-101-004,Software Engineer,Information Technology,2022-02-23,Mary Mitchell,2022-03-07,,declined,Dates OK
9961107,123-007-101-005,Software Engineer,Information Technology,2022-02-11,John Roberts,2022-03-08,,rescinded,Dates OK
1520596,123-004-108-001,Customer Support Rep,Marketing,2022-04-28,William Walker,2022-05-17,2022-05-31,promo,Dates OK
8801975,123-005-123-001,Data Engineer,Sales,2022-04-28,Joshua Mitchell,2022-05-23,,declined,Dates OK
8801975,123-005-123-002,Data Engineer,Sales,2022-01-27,Michael Nguyen,2022-02-26,2022-03-18,new to org,Dates OK
8801975,123-005-123-003,Data Engineer,Sales,2022-07-23,Betty Rivera,2022-07-26,2022-09-02,,Dates OK
5074336,123-005-104-001,HR Specialist,Sales,2023-03-15,Daniel Wright,2023-04-06,2023-04-30,transfer,Dates OK
5074336,123-005-104-002,HR Specialist,Sales,2022-01-13,Carol Perez,2022-02-10,,declined,Dates OK
5074336,123-005-104-003,HR Specialist,Sales,2023-01-06,Michael Ramirez,2023-01-27,2023-03-26,,Dates OK
5074336,123-005-104-004,HR Specialist,Sales,2023-06-19,Margaret Lopez,2023-07-10,2023-07-28,promo,Dates OK
5074336,123-005-104-005,HR Specialist,Sales,2022-10-02,Sandra Ramirez,2022-10-13,2022-12-07,,Dates OK
5118725,123-002-127-001,Training Coordinator,Finance,2023-01-24,Edward Robinson,2023-02-04,2023-02-06,promo,Dates OK
5118725,123-002-127-002,Training Coordinator,Finance,2022-08-06,Barbara Young,2022-08-18,2022-10-09,new to org,Dates OK
5118725,123-002-127-003,Training Coordinator,Finance,2022-10-10,Sarah Cruz,2022-10-28,,rescinded,Dates OK
1170307,123-004-117-001,Quality Assurance,Marketing,2022-09-04,Anthony Young,2022-09-27,,declined,Dates OK
8987516,123-008-121-001,UX Designer,Research and Development,2023-02-19,Charles Anderson,2023-03-14,2023-03-30,transfer,Dates OK
8987516,123-008-121-002,UX Designer,Research and Development,2023-06-28,Donald Scott,2023-07-10,2023-08-07,new to org,Dates OK
8987516,123-008-121-003,UX Designer,Research and Development,2023-04-10,Daniel Hall,2023-04-19,2023-05-09,new to org,Dates OK
8987516,123-008-121-004,UX Designer,Research and Development,2022-07-17,Linda Campbell,2022-07-28,,rescinded,Dates OK
3005795,123-009-124-003,Compliance Officer,Operations,2022-10-11,Melissa Walker,2022-11-04,,declined,Dates OK
3005795,123-009-124-004,Compliance Officer,Operations,2022-07-18,Michael Turner,2022-07-28,2022-08-12,new to org,Dates OK
7054579,123-005-106-005,Marketing Coordinator,Sales,2022-02-25,Sarah Williams,2022-03-15,2022-04-03,promo,Dates OK
3118618,123-008-121-005,UX Designer,Research and Development,2023-03-28,Donald Walker,2023-04-08,2023-04-20,new to org,Dates OK
1861958,123-008-109-001,IT Technician,Research and Development,2022-02-24,Ashley Jones,2022-03-01,2022-03-11,,Dates OK
6097514,123-004-103-001,Project Manager,Marketing,2022-08-20,Joshua Hill,2022-09-14,2022-10-18,,Dates OK
7381684,123-008-115-001,Graphic Designer,Research and Development,2022-03-03,Karen Torres,2022-03-23,2022-05-10,,Dates OK
7381684,123-008-115-002,Graphic Designer,Research and Development,2022-08-05,Edward Wilson,2022-08-14,,declined,Dates OK
7381684,123-008-115-003,Graphic Designer,Research and Development,2022-03-18,Jessica Lopez,2022-03-24,2022-03-25,promo,Dates OK
7853787,123-010-115-001,Graphic Designer,Legal,2022-10-17,Joseph Jackson,2022-11-09,,declined,Dates OK
7853787,123-010-115-002,Graphic Designer,Legal,2022-09-28,Amanda Anderson,2022-10-24,2022-12-14,transfer,Dates OK
7853787,123-010-115-003,Graphic Designer,Legal,2022-08-19,Margaret Davis,2022-09-09,2022-09-19,promo,Dates OK
7853787,123-010-115-004,Graphic Designer,Legal,2022-06-19,John Brown,2022-07-15,2022-08-04,promo,Dates OK
5842082,123-002-115-001,Graphic Designer,Finance,2023-05-28,Charlotte Moore,2023-06-15,2023-07-17,,Dates OK
5842082,123-002-115-002,Graphic Designer,Finance,2022-11-27,Olivia Ramirez,2022-12-17,2023-01-03,transfer,Dates OK
5842082,123-002-115-003,Graphic Designer,Finance,2022-01-22,Joseph Baker,2022-02-16,,declined,Dates OK
5842082,123-002-115-004,Graphic Designer,Finance,2022-06-29,Andrew Williams,2022-07-15,2022-08-18,new to org,Dates OK
8419378,123-005-130-001,Biomedical Engineer,Sales,2023-05-19,Kenneth Evans,2023-05-22,2023-06-22,,Dates OK
8419378,123-005-130-002,Biomedical Engineer,Sales,2022-04-18,Christopher Nelson,2022-05-16,2022-05-27,new to org,Dates OK
6533187,123-008-114-001,Research Analyst,Research and Development,2022-02-07,Isabella Carter,2022-02-22,2022-02-28,,Dates OK
6533187,123-008-114-002,Research Analyst,Research and Development,2023-02-18,Linda Roberts,2023-03-18,2023-04-20,new to org,Dates OK
6533187,123-008-114-003,Research Analyst,Research and Development,2023-04-19,Kevin Parker,2023-05-03,2023-05-07,transfer,Dates OK
4147112,123-006-117-001,Quality Assurance,Customer Service,2022-07-28,Edward Brown,2022-08-06,2022-09-11,,Dates OK
4147112,123-006-117-002,Quality Assurance,Customer Service,2023-05-12,Charles Lewis,2023-05-16,,declined,Dates OK
4147112,123-006-117-003,Quality Assurance,Customer Service,2022-09-03,Kenneth Hill,2022-09-26,,declined,Dates OK
4147112,123-006-117-004,Quality Assurance,Customer Service,2023-02-22,Emily Smith,2023-02-25,,declined,Dates OK
4147112,123-006-117-005,Quality Assurance,Customer Service,2022-04-27,Mason Collins,2022-05-12,,rescinded,Dates OK
2970754,123-003-121-001,UX Designer,Engineering,2022-10-07,Steven Rivera,2022-10-21,2022-12-14,new to org,Dates OK
2970754,123-003-121-002,UX Designer,Engineering,2022-05-29,Jessica Robinson,2022-06-11,2022-06-24,,Dates OK
2970754,123-003-121-003,UX Designer,Engineering,2022-10-10,Logan Jones,2022-11-04,2022-12-25,promo,Dates OK
2970754,123-003-121-004,UX Designer,Engineering,2023-06-04,Jackson Gomez,2023-06-13,2023-08-05,new to org,Dates OK
1043037,123-005-110-001,Legal Advisor,Sales,2023-04-03,Logan Martinez,2023-04-21,2023-05-22,,Dates OK
1043037,123-005-110-002,Legal Advisor,Sales,2022-07-13,Sandra Lee,2022-08-05,2022-08-21,,Dates OK
1043037,123-005-110-003,Legal Advisor,Sales,2023-02-25,Mia Roberts,2023-02-27,2023-03-20,promo,Dates OK
1043037,123-005-110-004,Legal Advisor,Sales,2022-06-05,Matthew Nelson,2022-06-21,2022-06-24,,Dates OK
1043037,123-005-110-005,Legal Advisor,Sales,2022-04-13,Donna Perez,2022-05-11,,declined,Dates OK
8387112,123-009-104-001,HR Specialist,Operations,2022-03-12,Robert Flores,2022-03-20,,declined,Dates OK
8387112,123-009-104-002,HR Specialist,Operations,2022-06-08,Logan Adams,2022-06-11,,declined,Dates OK
8387112,123-009-104-003,HR Specialist,Operations,2023-02-12,Nancy Flores,2023-03-05,2023-03-11,new to org,Dates OK
8387112,123-009-104-004,HR Specialist,Operations,2023-05-15,Christopher Green,2023-06-12,2023-07-17,,Dates OK
5821419,123-002-108-001,Customer Support Rep,Finance,2022-11-03,Mark Hernandez,2022-12-02,2022-12-04,transfer,Dates OK
5821419,123-002-108-002,Customer Support Rep,Finance,2022-10-28,Sophia Brown,2022-11-09,,declined,Dates OK
5821419,123-002-108-003,Customer Support Rep,Finance,2023-02-26,Jessica King,2023-03-17,2023-04-30,promo,Dates OK
5821419,123-002-108-004,Customer Support Rep,Finance,2023-01-27,Barbara Garcia,2023-02-16,2023-04-01,promo,Dates OK
5040453,123-010-116-001,Content Writer,Legal,2023-04-16,Kenneth Taylor,2023-04-25,,declined,Dates OK
5040453,123-010-116-002,Content Writer,Legal,2022-06-11,Lucas Jackson,2022-06-14,2022-07-13,,Dates OK
6797629,123-005-119-001,Account Manager,Sales,2022-07-23,Mia Martin,2022-08-05,2022-09-29,,Dates OK
6797629,123-005-119-002,Account Manager,Sales,2023-01-03,Matthew Torres,2023-01-22,2023-02-10,promo,Dates OK
6797629,123-005-119-003,Account Manager,Sales,2023-02-10,Mary Turner,2023-02-19,2023-02-20,new to org,Dates OK
6797629,123-005-119-004,Account Manager,Sales,2023-05-24,Ava Hill,2023-06-20,2023-08-17,transfer,Dates OK
5801541,123-004-125-001,Security Analyst,Marketing,2022-09-14,Kenneth Gonzalez,2022-10-06,2022-11-24,promo,Dates OK
5801541,123-004-125-002,Security Analyst,Marketing,2022-02-10,Kenneth Miller,2022-02-20,2022-04-12,promo,Dates OK
5801541,123-004-125-003,Security Analyst,Marketing,2022-04-03,George Rodriguez,2022-05-03,2022-05-22,new to org,Dates OK
5801541,123-004-125-004,Security Analyst,Marketing,2022-05-16,Barbara Gonzalez,2022-06-11,2022-07-16,,Dates OK
5801541,123-004-125-005,Security Analyst,Marketing,2022-10-07,Kimberly Allen,2022-11-03,2022-11-14,new to org,Dates OK
5311242,123-008-130-001,Biomedical Engineer,Research and Development,2023-04-25,Ethan Davis,2023-04-28,2023-05-08,new to org,Dates OK
5311242,123-008-130-002,Biomedical Engineer,Research and Development,2023-02-11,Logan Baker,2023-03-11,2023-05-02,promo,Dates OK
5311242,123-008-130-003,Biomedical Engineer,Research and Development,2022-01-15,Sophia Sanchez,2022-01-24,2022-02-28,transfer,Dates OK
3073474,123-006-115-001,Graphic Designer,Customer Service,2022-08-28,Michael Baker,2022-09-13,2022-09-15,new to org,Dates OK
3073474,123-006-115-002,Graphic Designer,Customer Service,2022-08-15,Ava Flores,2022-09-05,2022-09-10,new to org,Dates OK
3073474,123-006-115-003,Graphic Designer,Customer Service,2022-11-06,Ava Hall,2022-11-27,2022-12-24,,Dates OK
2957497,123-001-105-001,Financial Analyst,Human Resources,2022-04-10,Ashley Davis,2022-04-18,,rescinded,Dates OK
3276065,123-008-113-001,Operations Supervisor,Research and Development,2022-06-08,Donna Mitchell,2022-07-07,2022-08-03,,Dates OK
3276065,123-008-113-002,Operations Supervisor,Research and Development,2022-10-14,Michelle Clark,2022-10-16,2022-11-30,,Dates OK
3276065,123-008-113-003,Operations Supervisor,Research and Development,2023-01-07,Mark Thomas,2023-01-11,2023-02-24,,Dates OK
7162857,123-006-118-001,Network Engineer,Customer Service,2023-04-11,Richard Davis,2023-04-14,,rescinded,Dates OK
4558545,123-010-121-001,UX Designer,Legal,,,,,cancelled,Dates OK
6595355,123-003-108-001,Customer Support Rep,Engineering,2022-08-01,Mason Carter,2022-08-20,,declined,Dates OK
6595355,123-003-108-002,Customer Support Rep,Engineering,2022-12-03,Logan Anderson,2022-12-28,,declined,Dates OK
6595355,123-003-108-003,Customer Support Rep,Engineering,2022-01-03,Lucas Hill,2022-01-12,,declined,Dates OK
6595355,123-003-108-004,Customer Support Rep,Engineering,2022-09-14,William Wright,2022-10-10,2022-10-22,promo,Dates OK
6595355,123-003-108-005,Customer Support Rep,Engineering,2022-05-15,Logan Johnson,2022-05-16,,declined,Dates OK
7010308,123-004-126-004,Recruiter,Marketing,2022-02-23,Barbara Taylor,2022-02-28,,rescinded,Dates OK
7010308,123-004-126-005,Recruiter,Marketing,2023-05-03,Melissa Jones,2023-05-18,2023-07-07,transfer,Dates OK
7010308,123-004-126-006,Recruiter,Marketing,2022-08-15,Mark Allen,2022-09-04,2022-09-07,transfer,Dates OK
7010308,123-004-126-007,Recruiter,Marketing,2022-02-01,Sandra Adams,2022-02-03,2022-03-06,new to org,Dates OK
7010308,123-004-126-008,Recruiter,Marketing,2023-05-18,Amanda Miller,2023-06-10,2023-08-08,,Dates OK
8441741,123-002-103-001,Project Manager,Finance,2022-11-29,William Moore,2022-12-12,2023-01-20,transfer,Dates OK
8441741,123-002-103-002,Project Manager,Finance,2023-03-17,Steven Hill,2023-03-21,2023-05-11,,Dates OK
8441741,123-002-103-003,Project Manager,Finance,2022-08-22,Margaret Lewis,2022-09-05,2022-09-27,promo,Dates OK
8608449,123-007-113-006,Operations Supervisor,Information Technology,2022-09-19,Christopher Nelson,2022-10-01,,rescinded,Dates OK
3560856,123-008-122-001,DevOps Engineer,Research and Development,,,,,cancelled,Dates OK
2432176,123-007-103-004,Project Manager,Information Technology,2022-03-03,Ethan Rodriguez,2022-03-22,2022-04-27,new to org,Dates OK
6530541,123-002-122-001,DevOps Engineer,Finance,2023-03-10,Kevin Carter,2023-04-07,,rescinded,Dates OK
6530541,123-002-122-002,DevOps Engineer,Finance,2022-11-16,Charles Hill,2022-11-28,2022-12-05,transfer,Dates OK
6530541,123-002-122-003,DevOps Engineer,Finance,2023-05-09,Elizabeth Nelson,2023-05-17,2023-07-11,promo,Dates OK
6530541,123-002-122-004,DevOps Engineer,Finance,2023-01-12,Mia Scott,2023-01-16,,declined,Dates OK
5673599,123-004-119-002,Account Manager,Marketing,2022-10-01,Joshua Nelson,2022-10-02,2022-10-14,transfer,Dates OK
5673599,123-004-119-003,Account Manager,Marketing,2022-12-14,Edward Martin,2022-12-26,,rescinded,Dates OK
5673599,123-004-119-004,Account Manager,Marketing,2023-02-15,Logan Martinez,2023-02-18,,declined,Dates OK
5673599,123-004-119-005,Account Manager,Marketing,2022-04-04,Kenneth Johnson,2022-04-28,,declined,Dates OK
9900022,123-007-107-001,Sales Associate,Information Technology,2022-11-29,Lisa Martin,2022-12-24,2023-01-30,promo,Dates OK
9900022,123-007-107-002,Sales Associate,Information Technology,2022-02-20,Elizabeth Hernandez,2022-03-14,2022-03-20,transfer,Dates OK
9900022,123-007-107-003,Sales Associate,Information Technology,2023-05-13,Kevin Ramirez,2023-06-02,,rescinded,Dates OK
9900022,123-007-107-004,Sales Associate,Information Technology,2023-06-09,Susan Carter,2023-06-13,2023-07-06,new to org,Dates OK
8212753,123-005-104-006,HR Specialist,Sales,2023-02-09,Robert Anderson,2023-03-01,2023-03-05,new to org,Dates OK
8212753,123-005-104-007,HR Specialist,Sales,2022-05-21,Karen Wilson,2022-06-15,,declined,Dates OK
8212753,123-005-104-008,HR Specialist,Sales,2022-01-08,Christopher Davis,2022-01-24,,rescinded,Dates OK
8212753,123-005-104-009,HR Specialist,Sales,2023-06-30,William Harris,2023-07-23,2023-08-07,promo,Dates OK
8212753,123-005-104-010,HR Specialist,Sales,2022-02-13,John Sanchez,2022-02-27,2022-03-01,new to org,Dates OK
8713396,123-002-130-001,Biomedical Engineer,Finance,2023-03-04,Dorothy Green,2023-03-14,2023-03-22,,Dates OK
8713396,123-002-130-002,Biomedical Engineer,Finance,2023-04-17,David Phillips,2023-05-14,2023-06-28,new to org,Dates OK
8713396,123-002-130-003,Biomedical Engineer,Finance,2022-04-19,Margaret Diaz,2022-04-27,2022-05-25,transfer,Dates OK
7718433,123-002-117-001,Quality Assurance,Finance,2022-06-22,Joseph Perez,2022-06-25,2022-07-28,new to org,Dates OK
7718433,123-002-117-002,Quality Assurance,Finance,2022-12-24,Lucas Roberts,2023-01-05,2023-02-21,promo,Dates OK
7718433,123-002-117-003,Quality Assurance,Finance,2022-05-30,Jessica Miller,2022-06-08,2022-06-21,promo,Dates OK
7718433,123-002-117-004,Quality Assurance,Finance,2022-03-19,Elizabeth Carter,2022-03-25,,declined,Dates OK
9289908,123-010-115-005,Graphic Designer,Legal,2022-11-20,Logan Green,2022-11-25,2022-12-24,new to org,Dates OK
9289908,123-010-115-006,Graphic Designer,Legal,2022-11-07,Mark Green,2022-12-03,,declined,Dates OK
9289908,123-010-115-007,Graphic Designer,Legal,2023-06-04,Patricia Thompson,2023-06-07,,rescinded,Dates OK
9289908,123-010-115-008,Graphic Designer,Legal,2023-01-13,Robert Brown,2023-02-09,2023-02-28,,Dates OK
9289908,123-010-115-009,Graphic Designer,Legal,2022-04-03,Logan Diaz,2022-04-23,,declined,Dates OK
9507186,123-008-113-004,Operations Supervisor,Research and Development,2022-07-12,Mark Collins,2022-07-23,2022-08-31,transfer,Dates OK
9507186,123-008-113-005,Operations Supervisor,Research and Development,2022-04-16,Patricia Lewis,2022-05-12,2022-07-09,promo,Dates OK
9507186,123-008-113-006,Operations Supervisor,Research and Development,2022-06-26,Steven Adams,2022-06-28,2022-07-14,transfer,Dates OK
